Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age_of_car,Avg_kms_per_yr
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.0,2987,254.0,5.0,28.0,11,42.22553402881272
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.0,1199,73.0,5.0,5.0,11,30.79980129160457
40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.0,796,46.0,5.0,1.25,16,44.820717131474105
41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.0,624,37.0,4.0,1.53,10,9.780536246276068
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.0,1198,77.0,6.0,5.58,7,10.923648983639067
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.0,1197,82.0,5.0,4.74,10,17.6201588877855
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.0,1999,149.0,5.0,8.85,10,23.02581926514399
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.0,1798,138.0,5.0,10.11,8,25.794146825396826
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.0,1991,112.0,5.0,4.25,16,28.88695219123506
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.0,2694,163.0,7.0,10.95,12,35.141153081510936
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.0,1120,71.0,5.0,3.85,10,37.23932472691162
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.0,2498,105.0,6.0,5.5,12,37.67395626242545
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.0,1968,174.0,5.0,21.43,9,6.773200992555831
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.0,1248,74.0,5.0,4.25,10,25.819265143992055
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.0,1248,75.0,5.0,3.3,10,26.31578947368421
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.0,1248,74.0,5.0,3.85,11,32.61301539990065
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.0,1197,82.0,5.0,3.6,9,26.799007444168733
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.0,1598,103.0,5.0,3.99,9,19.35483870967742
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.0,799,53.0,5.0,3.3,7,8.201289043133366
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.0,1197,78.0,5.0,2.07,14,15.92039800995025
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,9.0,1995,147.0,5.0,7.75,14,60.602985074626865
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.0,998,67.0,5.0,2.25,14,19.55223880597015
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.0,2393,147.0,8.0,16.5,7,10.907288051561725
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.75,14,35.82089552238806
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.0,1796,186.0,5.0,26.7,9,28.78411910669975
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.0,2148,170.0,5.0,10.0,13,32.322227747389356
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5.0,2.5,8,88.2936507936508
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.0,1968,140.0,5.0,13.5,12,32.636182902584494
66,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.0,1497,78.0,5.0,1.85,17,31.390134529147982
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950,194.0,5.0,35.67,5,7.612184249628529
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.0,1248,88.0,7.0,8.15,8,31.25
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.0,1396,88.0,5.0,10.5,6,6.442021803766105
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.0,4806,500.0,5.0,14.5,16,36.354581673306775
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.0,2179,140.0,7.0,9.65,9,27.657071960297767
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.0,1197,78.0,5.0,3.48,12,22.45427435387674
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.0,1461,108.0,5.0,6.92,9,27.824317617866004
74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.0,1198,86.0,5.0,6.46,8,18.501984126984127
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.0,1968,187.0,5.0,29.5,10,27.805362462760677
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.0,1998,132.0,8.0,4.5,18,114.65603190428713
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.0,2494,102.0,7.0,11.75,12,51.68986083499006
80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.0,1248,74.0,5.0,3.75,12,47.26640159045726
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.0,1193,88.0,5.0,4.5,7,34.705007436787305
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.0,5.0,4.82,8,27.253968253968253
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,2.8,12,34.958747514910534
84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.0,1248,73.0,5.0,3.11,11,49.49726775956284
85,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.0,1497,117.0,5.0,3.25,15,25.883524141363864
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.0,1995,218.0,5.0,13.9,13,37.29487817006464
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.0,1197,78.0,5.0,2.25,15,47.775012444001995
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.0,1197,82.0,5.0,5.75,8,7.936507936507937
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.0,1198,86.0,5.0,5.0,8,9.399305555555555
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.0,7.0,16.5,10,53.128103277060575
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.0,1968,174.0,5.0,39.58,6,23.96778989098117
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.0,1498,89.0,5.0,5.5,11,28.315946348733235
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.0,2179,140.0,7.0,8.1,10,28.798411122144984
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.0,1498,98.0,5.0,3.5,9,14.88833746898263
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.0,1199,73.0,5.0,2.79,11,16.995529061102832
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.0,1493,110.0,5.0,3.45,14,34.82686567164179
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.0,998,67.0,5.0,4.45,8,30.753968253968253
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.0,1598,103.0,5.0,2.65,14,30.84626865671642
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5.0,3.8,13,39.26305320735952
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.0,1197,82.0,5.0,4.65,10,14.985104270109236
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.0,1198,67.0,7.0,3.95,7,16.287059990084284
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.0,2967,241.0,5.0,9.8,14,14.925373134328359
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,2.7,15,32.85216525634644
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35.0,5.0,2.41,14,46.691542288557216
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.0,1197,78.0,5.0,3.9,10,26.31578947368421
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.0,2993,270.0,5.0,24.0,13,38.78667329686723
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,5.75,12,32.306163021868784
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.0,1582,126.0,5.0,5.25,10,19.860973187686195
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.0,2755,171.0,7.0,19.25,7,14.873574615765989
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.0,1196,73.0,5.0,3.91,7,18.866137828458108
112,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.0,624,37.0,4.0,2.15,10,12.66137040714995
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.0,1995,190.0,5.0,20.75,9,27.834739454094294
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.0,1799,130.0,5.0,3.35,14,35.36716417910448
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.0,2494,100.0,7.0,11.11,10,27.30883813306852
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.0,1984,150.0,5.0,20.0,10,16.236345580933467
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.0,1198,75.0,5.0,6.55,8,19.782738095238095
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.0,2497,215.0,5.0,7.0,15,63.71329019412643
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.0,1248,88.0,5.0,7.5,8,27.28174603174603
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.0,5.0,16.75,10,26.689672293942404
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.0,5.0,10.95,6,5.079286422200198
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.0,998,67.0,5.0,2.45,13,21.817006464445548
124,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.0,624,37.0,4.0,3.23,7,16.20426375805652
125,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.0,2179,120.0,8.0,7.75,10,20.854021847070506
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.0,1796,178.0,5.0,9.35,15,14.112493777999005
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.0,2354,152.0,5.0,5.25,17,23.766816143497756
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.0,1498,103.0,5.0,7.25,9,27.29528535980149
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.0,1373,91.0,5.0,7.47,7,21.955875061973227
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,13.25,8,26.785714285714285
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.0,1197,85.0,5.0,5.81,8,14.996031746031745
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.0,998,67.0,5.0,2.6,10,43.94240317775571
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.0,2.0,54.0,7,6.629647992067427
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.0,5.0,11.5,5,6.263001485884101
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.0,796,46.0,5.0,1.6,14,46.95771144278607
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.0,1995,143.0,5.0,17.22,9,15.792059553349876
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.0,5.0,6.0,9,5.955334987593052
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.0,1799,130.0,5.0,3.95,12,44.02485089463221
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.0,2143,170.0,5.0,17.95,10,22.326216484607745
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.0,1498,98.0,5.0,3.7,10,22.365441906653427
142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.0,5.0,5.43,8,16.966269841269842
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.0,2982,171.0,7.0,13.49,12,45.34542743538768
145,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.0,1199,76.0,5.0,2.85,10,19.26514399205561
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.0,1498,103.0,5.0,4.75,11,41.231992051664186
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.0,1373,91.0,5.0,9.9,6,20.457383548067394
148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.0,2894,444.0,4.0,37.0,11,11.425732737208147
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.0,1995,190.0,5.0,26.5,10,23.833167825223438
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.0,1968,174.0,5.0,23.32,9,23.92754342431762
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.0,1248,74.0,5.0,6.25,8,17.36111111111111
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.0,5461,362.0,5.0,30.0,14,17.550746268656717
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.0,1498,103.0,5.0,9.86,8,27.09325396825397
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.0,1968,138.0,5.0,8.5,12,68.0899602385686
155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.0,814,55.0,5.0,4.23,5,7.093610698365527
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.0,1199,73.0,5.0,3.5,12,32.62127236580517
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.0,1198,67.0,5.0,2.5,8,2.9761904761904763
158,Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.0,1198,86.0,5.0,2.39,11,16.532538499751613
159,Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.0,1595,120.0,5.0,11.25,11,14.40635866865375
160,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.0,5.0,7.11,9,21.2560794044665
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.0,2494,100.0,7.0,10.9,8,44.642857142857146
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.0,1197,81.0,5.0,6.2,7,11.90133862171542
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.0,2179,140.0,7.0,7.9,12,16.29821073558648
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.0,1498,89.0,5.0,4.42,10,73.43495531281033
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.0,7.0,13.5,12,65.48956262425448
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.0,1498,108.0,5.0,6.25,11,32.290114257327375
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5.0,2.1,14,32.897014925373135
168,BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.0,2993,258.0,5.0,45.0,9,20.34739454094293
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.0,2143,167.0,5.0,33.66,7,11.675756073376302
170,Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.0,1198,86.0,5.0,3.65,12,22.365805168986082
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.0,1197,78.0,5.0,2.75,11,29.806259314456035
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.0,2143,170.0,5.0,42.5,8,22.03075396825397
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.0,1197,81.0,5.0,6.5,5,0.4952947003467063
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.0,1968,174.0,5.0,19.0,12,31.06361829025845
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,14.0,1598,103.0,5.0,4.45,11,10.432190760059612
176,Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.0,1998,112.0,5.0,23.0,7,4.226574119980168
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.0,1396,88.0,5.0,8.35,10,14.399205561072492
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,17.0,1968,174.0,5.0,22.95,10,19.860973187686195
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.0,936,57.0,5.0,1.5,12,43.737574552683895
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,13.0,1798,157.0,5.0,6.89,12,26.608846918489064
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.0,1399,68.0,5.0,1.45,18,107.67696909272183
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.0,1995,190.0,5.0,33.5,10,25.3227408142999
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,First,12.0,1598,102.0,5.0,1.25,17,59.04334828101644
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.0,1199,73.0,5.0,4.2,12,31.312127236580515
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,19.0,1461,108.0,8.0,6.75,9,12.40694789081886
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.0,5.0,32.0,10,18.561072492552135
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.0,1197,83.0,5.0,7.5,7,12.282102131879029
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.0,1582,126.0,5.0,4.6,12,30.81510934393638
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.0,1086,68.0,5.0,4.04,7,25.949429846306394
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,15.0,1997,120.0,7.0,10.31,8,28.144345238095237
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,12.0,2179,187.0,5.0,55.76,6,17.88453914767096
192,Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.6,14,59.701492537313435
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.0,1248,88.0,7.0,8.5,8,16.36904761904762
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.0,1498,98.0,5.0,3.5,10,25.819265143992055
196,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.0,1197,78.0,5.0,3.55,9,21.623325062034738
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.0,1498,98.0,5.0,3.25,11,24.838549428713364
198,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.0,1896,106.0,5.0,4.5,16,56.27490039840637
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,First,19.0,1461,83.0,5.0,5.35,10,44.68718967229394
